Rank,Peak,All Time Peak,Actual gross,Adjusted gross (in 2022 dollars),Artist,Tour title,Year(s),Shows,Average gross,Ref.
1,1.0,2.0,780000000.0,780000000.0,Taylor Swift,The Eras Tour ,2023,56,13928571.42857143,[1]
2,1.0,7.0,579800000.0,579800000.0,Beyoncé,Renaissance World Tour,2023,56,10353571.42857143,[3]
3,1.0,2.0,411000000.0,560622615.0,Madonna,Sticky & Sweet Tour ,2008,85,4835294.117647059,[6]
4,2.0,10.0,397300000.0,454751555.0,Pink,Beautiful Trauma World Tour,2018,156,2546794.871794872,[7]
5,2.0,NaN,345675146.0,402844849.0,Taylor Swift,Reputation Stadium Tour,2018,53,6522172.566037736,[8]
6,2.0,10.0,305158363.0,388978496.0,Madonna,The MDNA Tour,2012,88,3467708.6704545454,[9]
7,2.0,NaN,280000000.0,381932682.0,Celine Dion,Taking Chances World Tour,2008,131,2137404.580152672,[11]
7,NaN,NaN,257600000.0,257600000.0,Pink,Summer Carnival ,2023,41,6282926.8292682925,[12]
9,NaN,NaN,256084556.0,312258401.0,Beyoncé,The Formation World Tour,2016,49,5226215.428571428,[13]
10,NaN,NaN,250400000.0,309141878.0,Taylor Swift,The 1989 World Tour,2015,85,2945882.3529411764,[14]
11,NaN,NaN,229100000.0,283202896.0,Beyoncé,The Mrs. Carter Show World Tour,2013,132,1735606.0606060605,[15][16]
12,NaN,14.0,227400000.0,295301479.0,Lady Gaga,The Monster Ball Tour ,2009,203,1120197.0443349753,[18]
13,NaN,NaN,204000000.0,251856802.0,Katy Perry,Prismatic World Tour,2014,151,1350993.3774834438,[19]
14,1.0,NaN,200000000.0,299676265.0,Cher,Living Proof: The Farewell Tour ,2002,325,615384.6153846154,[20]
15,2.0,NaN,194000000.0,281617035.0,Madonna,Confessions Tour,2006,60,3233333.3333333335,[5]
16,NaN,NaN,184000000.0,227452347.0,Pink,The Truth About Love Tour,2013,142,1295774.647887324,[22]
17,NaN,NaN,170000000.0,213568571.0,Lady Gaga,Born This Way Ball,2012,98,1734693.8775510204,[d]
18,NaN,NaN,169800000.0,207046755.0,Madonna,Rebel Heart Tour,2015,82,2070731.7073170731,[4]
19,NaN,NaN,167700000.0,204486106.0,Adele,Adele Live 2016,2016,121,1385950.4132231404,[25]
20,NaN,NaN,150000000.0,185423109.0,Taylor Swift,The Red Tour,2013,86,1744186.046511628,[26]
